规格书编号,客户名称,产品,客户特征,参数编号,参数名称,参数类别,单位,客户要求值,内部基线值,是否存在差异,差异方向,差异说明
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,OPT-01,近光光通量,光学性能,lm,1200,1200,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,OPT-02,远光光通量,光学性能,lm,1800,1800,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,OPT-03,近光中心照度,光学性能,lx@25m,45,45,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,OPT-04,远光中心照度,光学性能,lx@25m,120,120,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,OPT-05,近光截止线清晰度,光学性能,%,85,85,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,OPT-06,近光截止线水平偏移,光学性能,°,0.5,0.5,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,OPT-07,色温范围,光学性能,K,5500-6500,5500-6500,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,OPT-08,日行灯亮度,光学性能,cd,300,300,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,OPT-09,转向灯亮度,光学性能,cd,150,150,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,OPT-10,光型均匀度,光学性能,%,75,75,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ELE-01,额定工作电压,电气性能,V,12,12,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ELE-02,工作电压范围,电气性能,V,9-16,9-16,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ELE-03,近光功耗,电气性能,W,35,35,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ELE-04,远光功耗,电气性能,W,55,55,否,一致,
