参数编号,参数名称,参数类别,单位,基线值,比较方式
OPT-01,近光光通量,光学性能,lm,1200,min
OPT-02,远光光通量,光学性能,lm,1800,min
OPT-03,近光中心照度,光学性能,lx@25m,45,min
OPT-04,远光中心照度,光学性能,lx@25m,120,min
OPT-05,近光截止线清晰度,光学性能,%,85,min
OPT-06,近光截止线水平偏移,光学性能,°,0.5,max
OPT-07,色温范围,光学性能,K,5500-6500,range
OPT-08,日行灯亮度,光学性能,cd,300,min
OPT-09,转向灯亮度,光学性能,cd,150,min
OPT-10,光型均匀度,光学性能,%,75,min
ELE-01,额定工作电压,电气性能,V,12,exact
ELE-02,工作电压范围,电气性能,V,9-16,range
ELE-03,近光功耗,电气性能,W,35,max
ELE-04,远光功耗,电气性能,W,55,max
ELE-05,待机功耗,电气性能,mA,2,max
ELE-06,浪涌电流,电气性能,A,15,max
ELE-07,CAN通信速率,电气性能,kbps,500,exact
ELE-08,LIN通信速率,电气性能,kbps,19.2,exact
ENV-01,最低工作温度,环境耐久,°C,-40,max
ENV-02,最高工作温度,环境耐久,°C,85,min
ENV-03,存储温度下限,环境耐久,°C,-40,max
ENV-04,存储温度上限,环境耐久,°C,105,min
ENV-05,防护等级,环境耐久,IP等级,IP67,enum
ENV-06,盐雾试验,环境耐久,h,720,min
ENV-07,高温高湿试验,环境耐久,h,1000,min
ENV-08,温度循环次数,环境耐久,次,500,min
ENV-09,耐振动(随机),环境耐久,Grms,5.0,min
ENV-10,紫外线老化,环境耐久,h,2000,min
MEC-01,灯罩冲击强度,机械性能,J,15,min
MEC-02,壳体弯曲刚度,机械性能,N/mm,50,min
MEC-03,安装点拔出力,机械性能,N,300,min
MEC-04,连接器插拔力,机械性能,N,80,max
MEC-05,调节电机寿命,机械性能,万次,5,min
MEC-06,整灯重量上限,机械性能,kg,3.5,max
MEC-07,跌落试验高度,机械性能,cm,60,min
MEC-08,紧固件扭矩,机械性能,N·m,8,exact
EMC-01,静电放电(接触),EMC电磁兼容,kV,±4,enum
EMC-02,静电放电(空气),EMC电磁兼容,kV,±8,enum
EMC-03,传导骚扰限值,EMC电磁兼容,等级,Class 3,enum
EMC-04,辐射骚扰限值,EMC电磁兼容,等级,Class 3,enum
EMC-05,电源瞬态抗扰度,EMC电磁兼容,等级,Level 3,enum
REG-01,中国CCC认证,法规认证,要求,必须,enum
REG-02,欧洲ECE R149,法规认证,要求,必须,enum
REG-03,美国SAE J1383,法规认证,要求,可选,enum
REG-04,功能安全ASIL等级,法规认证,等级,ASIL B,enum
REG-05,网络安全要求,法规认证,要求,ISO 21434,enum
REL-01,设计寿命,可靠性,h,10000,min
REL-02,LED光衰标准(L70),可靠性,h,8000,min
REL-03,PCBA MTBF,可靠性,h,50000,min
REL-04,调光电机耐久,可靠性,万次,10,min
REL-05,整车质保期,可靠性,年,3,min
